country,year,edu_rate,savings_rate,gdp_per_capita
AT,2013,20.6,12.96,43080
AT,2014,29.9,13.27,43070
AT,2015,30.6,13.02,43200
AT,2016,31.4,13.74,43550
AT,2017,32.4,12.82,44260
AT,2018,32.7,13.41,45140
AT,2019,33.8,13.04,45730
AT,2020,34.2,19.15,42650
AT,2021,34.6,17.25,44580
AT,2022,35.6,15.24,46430
AT,2023,36.6,14.75,45670
BE,2013,35.5,13.1,39440
BE,2014,36.9,12.63,39960
BE,2015,36.9,11.59,40310
BE,2016,37.5,11.47,40590
BE,2017,40.3,11.11,41030
BE,2018,40.6,10.87,41610
BE,2019,40.7,12.12,42400
BE,2020,42.4,19.07,40190
BE,2021,44.9,16.64,42530
BE,2022,45.8,12.9,43860
BE,2023,44.8,14.02,44230
BG,2013,25.6,1.44,7600
BG,2014,27,-0.54,7770
BG,2015,27.5,-1.55,8130
BG,2016,27.7,-1.55,8490
BG,2017,27.8,-0.77,8840
BG,2018,28.2,2.86,9170
BG,2019,27.9,-0.77,9650
BG,2020,29.2,-1.09,9440
BG,2021,29.7,-5.56,10250
BG,2022,29.9,-6.63,10740
CH,2013,37.4,22.41,74650
CH,2014,38.4,23.39,75620
CH,2015,39.8,22.45,75780
CH,2016,41.2,21.9,76410
CH,2017,42.6,20.95,76770
CH,2018,43.7,20.42,78760
CH,2019,44.4,21.69,79070
CH,2020,45.3,26.06,76710
CH,2021,44.9,25.52,80850
CH,2022,44.6,22.33,83000
CH,2023,46,21.97,82440
CY,2013,39.3,2.32,20830
CY,2014,40.3,-0.05,20490
CY,2015,40.5,2,21140
CY,2016,41.9,2.91,22410
CY,2017,42.5,2.52,23500
CY,2018,44.1,4.01,24690
CY,2019,44.6,6.41,25790
CY,2020,45,13.58,24630
CY,2021,47,14.76,27030
CY,2022,48,5.6,28730
CY,2023,50.7,5.7,29200
CZ,2013,20.5,11.14,17970
CZ,2014,21.5,12.16,18370
CZ,2015,22.2,11.08,19270
CZ,2016,23,10.44,19760
CZ,2017,23.9,10.77,20760
CZ,2018,24.3,11.53,21320
CZ,2019,24.2,11.88,22050
CZ,2020,24.9,18.73,20980
CZ,2021,26.4,19.57,21830
CZ,2022,26.7,18.2,21910
CZ,2023,27,20.55,21680
DE,2013,28.6,16.44,40100
DE,2014,27.1,17.07,40850
DE,2015,27.6,17.24,41230
DE,2016,28.3,17.15,41880
DE,2017,28.6,17.57,42960
DE,2018,29.1,18.2,43390
DE,2019,29.9,17.93,43790
DE,2020,31.2,23.24,42020
DE,2021,32.2,21.99,43730
DE,2022,32.1,18.9,44230
DE,2023,33,19.25,43450
DK,2013,35.2,5.06,49750
DK,2014,35.7,1.21,50110
DK,2015,36.6,8.37,50810
DK,2016,37.8,8.87,51950
DK,2017,38.9,9.59,53200
DK,2018,39.4,9.5,53920
DK,2019,40.4,7.91,54630
DK,2020,40.6,9.16,53540
DK,2021,41.9,6.79,56780
DK,2022,42.1,11.09,56530
DK,2023,42.9,14.73,56470
EE,2013,37.4,7.23,17630
EE,2014,37.6,6.5,18280
EE,2015,36.7,8.4,18650
EE,2016,37.7,7.44,19190
EE,2017,38.4,8,20270
EE,2018,39.1,10.94,20970
EE,2019,39.5,10.12,21650
EE,2020,40.1,12.96,20960
EE,2021,41.2,8.37,22670
EE,2022,42.1,1.99,22370
EE,2023,41.6,3.55,21210
EL,2013,27.4,-5.33,15800
EL,2014,28.1,-3.48,16030
EL,2015,29.1,-1.63,16100
EL,2016,30.2,-2.24,16160
EL,2017,31,-4.26,16430
EL,2018,31.7,-7.01,16810
EL,2019,31.9,-2.42,17210
EL,2020,32.7,0.65,15660
EL,2021,34.6,4.43,17110
EL,2022,35.1,-4.99,18160
EL,2023,34.3,-2.44,18600
ES,2013,33.7,8.46,23310
ES,2014,34.7,6.98,23730
ES,2015,35.1,7.93,24720
ES,2016,35.7,7.71,25420
ES,2017,36.4,6.3,26110
ES,2018,37.3,6.1,26620
ES,2019,38.6,8.61,26930
ES,2020,39.7,17.62,23850
ES,2021,40.4,14.26,25440
ES,2022,40.7,8.98,26820
ES,2023,41.4,11.68,27150
FI,2013,40.5,9.01,41020
FI,2014,41.8,8.41,40650
FI,2015,42.7,8.23,40700
FI,2016,43.1,7.75,41640
FI,2017,43.7,8.52,42910
FI,2018,44.5,9.26,43360
FI,2019,46,11.05,43910
FI,2020,47.5,14.46,42740
FI,2021,42.3,12.48,43800
FI,2022,42.7,10.01,44010
FI,2023,42.6,10.94,43280
FR,2013,32.1,13.87,34990
FR,2014,33.2,14.15,35150
FR,2015,34.1,13.61,35370
FR,2016,34.6,13.41,35540
FR,2017,35.3,13.67,36140
FR,2018,36.9,13.54,36570
FR,2019,38,14.24,37160
FR,2020,39.7,20.03,34280
FR,2021,40.7,18.67,36470
FR,2022,41.6,16.51,37320
FR,2023,42.4,16.72,37760
HR,2013,20.9,7.15,11340
HR,2014,21.8,9.93,11370
HR,2015,22.9,8.16,11760
HR,2016,23,10.64,12320
HR,2017,23.7,8.91,12910
HR,2018,25.2,9.41,13460
HR,2019,25.2,9.22,14020
HR,2020,25.5,13.29,12980
HR,2021,25.6,12.71,14750
HR,2022,26.1,8.03,15900
HR,2023,28.7,8.04,16490
HU,2013,22.6,12.77,11490
HU,2014,23.4,13.06,12040
HU,2015,24.2,12.81,12530
HU,2016,23.7,12.54,12880
HU,2017,24.1,12.93,13460
HU,2018,25,15.3,14240
HU,2019,25.9,16.17,14980
HU,2020,27.1,16.37,14370
HU,2021,29.3,18.22,15470
HU,2022,29.4,15.68,16160
HU,2023,29.8,20.17,16050
IE,2013,42.6,13.4,44890
IE,2014,43.3,11.51,48770
IE,2015,44.5,12.82,60210
IE,2016,45.1,12.53,60220
IE,2017,46.5,14.64,65370
IE,2018,46.9,12.53,69390
IE,2019,47.3,13.85,71720
IE,2020,49.9,25.82,75820
IE,2021,52.9,21.42,87160
IE,2022,53.7,14.58,91760
IE,2023,54.5,11.81,87810
IS,2013,36.1,-2.21,52880
IS,2014,37.3,0.02,53280
IS,2015,39,4.2,54760
IS,2016,40.5,12.75,57320
IS,2017,42.5,9.72,57910
IS,2018,43.8,6.78,59120
IS,2019,45.2,7.74,58770
IS,2020,43.7,10.78,54190
IS,2021,42.6,9.57,56150
IS,2022,42.9,6.66,59700
IS,2023,44,9.57,61180
IT,2013,16.4,11.48,28920
IT,2014,16.9,11.8,28910
IT,2015,17.6,11.1,29210
IT,2016,17.7,11.21,29630
IT,2017,18.7,10.87,30160
IT,2018,19.4,10.63,30470
IT,2019,19.7,10.42,30680
IT,2020,20,17.78,28100
IT,2021,20,15.79,30760
IT,2022,20.3,11.39,32310
IT,2023,21.6,11.32,32640
LT,2013,35.2,-0.52,13480
LT,2014,36.7,-1.69,14100
LT,2015,38.7,-0.99,14630
LT,2016,39.7,1.89,15200
LT,2017,40.3,-3.97,16090
LT,2018,41.7,-2.65,17030
LT,2019,43.1,1.73,17870
LT,2020,44.1,11.69,17890
LT,2021,45.4,10.22,19040
LT,2022,46.5,4.81,19350
LT,2023,46.4,5.66,19220
LU,2013,40.7,15.52,102010
LU,2014,45.9,15.43,102240
LU,2015,41.1,13.37,102530
LU,2016,42.6,12.11,104920
LU,2017,39.9,13.3,104020
LU,2018,44.1,12.41,103640
LU,2019,47,14.69,104310
LU,2020,47.1,25.85,102190
LU,2021,50.5,17.98,107570
LU,2022,52.3,13.39,104100
LU,2023,51.9,12.96,102250
LV,2013,31,-3.3,12750
LV,2014,30.2,0.53,13140
LV,2015,31.6,3.53,13750
LV,2016,33.4,4.61,14230
LV,2017,33.9,5.64,14850
LV,2018,33.9,6.78,15610
LV,2019,35.7,8.63,15820
LV,2020,37.8,14.08,15370
LV,2021,39,10.44,16580
LV,2022,39.5,3.84,16890
LV,2023,39.2,1.75,16770
MT,2013,19.6,3.85,22600
MT,2014,21.2,4.25,23840
MT,2015,21.6,8.03,25520
MT,2016,22.1,11.14,25960
MT,2017,23.9,12.02,28530
MT,2018,26.9,11.06,29510
MT,2019,29.7,12.99,29480
MT,2020,30.8,24.19,27870
MT,2021,32.1,22.77,31420
MT,2022,31.8,19.14,31400
MT,2023,33.2,14.71,33380
NL,2013,33.9,13.74,44230
NL,2014,34.4,14.35,44780
NL,2015,35.3,13.98,45530
NL,2016,36,15.1,46380
NL,2017,37.2,12.92,47390
NL,2018,38.3,13.58,48180
NL,2019,40.4,15.84,48970
NL,2020,42.6,21.98,46810
NL,2021,43.1,19.02,49490
NL,2022,44.7,14.43,51480
NL,2023,44.3,14.77,50660
NO,2013,39.8,12.86,58590
NO,2014,42.3,13.55,59130
NO,2015,43.2,15.24,59610
NO,2016,43.2,12.79,59780
NO,2017,43.2,12.58,60780
NO,2018,43.7,12.16,60880
NO,2019,44,13.29,61150
NO,2020,45.3,18.93,60020
NO,2021,47.2,18.89,62030
NO,2022,47.8,11.41,63470
PL,2013,25.8,5.85,10930
PL,2014,27,7.77,11360
PL,2015,27.7,6.49,11870
PL,2016,28.7,8.05,12240
PL,2017,29.9,5.49,12870
PL,2018,30.9,4.98,13680
PL,2019,32.4,6.18,14310
PL,2020,33.3,12.79,14310
PL,2021,33.7,5.1,15380
PL,2022,34.4,1.02,15840
PL,2023,37.9,4.72,15950
PT,2013,19.3,9.04,18330
PT,2014,21.7,6.58,18560
PT,2015,22.9,7.47,18920
PT,2016,23.8,7.3,19350
PT,2017,24.1,6.54,20020
PT,2018,25,6.94,20620
PT,2019,26.4,7,21150
PT,2020,27.5,12.05,19360
PT,2021,28.8,10.95,20390
PT,2022,29.5,7.33,21690
PT,2023,29.8,8.92,22130
RO,2013,15.6,-6.34,8710
RO,2014,15.9,-8.99,9100
RO,2015,17.2,-9,9430
RO,2016,17.4,-6.2,9760
RO,2017,17.6,-5.99,10620
RO,2018,17.8,-12.68,11260
RO,2019,18.4,-3.2,11760
RO,2020,18.7,1.48,11390
RO,2021,18.8,-1.82,12130
RO,2022,19.7,-7.64,12690
RO,2023,18.6,-2.91,12970
RS,2013,19.4,1.12,6010
RS,2014,20.4,0.66,5930
RS,2015,21.5,1.37,6040
RS,2016,22.4,-0.88,6250
RS,2017,22.7,-3.93,6430
RS,2018,23.6,2.53,6770
RS,2019,23.9,2.43,7130
RS,2020,24.1,9.31,7110
RS,2021,25.4,9.25,7740
RS,2022,26.2,5.89,8160
RS,2023,27.1,4.43,8510
SE,2013,37,15.41,43770
SE,2014,38.7,15.89,44330
SE,2015,39.8,13.67,45790
SE,2016,41.1,14.94,46220
SE,2017,41.9,14.08,46420
SE,2018,43.2,15.17,46700
SE,2019,44,17.02,47410
SE,2020,44.6,17.68,46180
SE,2021,46.6,17.64,48300
SE,2022,48.5,15.77,48390
SE,2023,49.4,16.99,47960
SI,2013,27.9,11.19,19210
SI,2014,28.6,11.4,19720
SI,2015,30.2,11.76,20170
SI,2016,30.7,12.1,20770
SI,2017,32.5,12.98,21830
SI,2018,32.5,13.58,22720
SI,2019,33.3,13.43,23330
SI,2020,35.9,22.56,22230
SI,2021,40.3,16.98,24040
SI,2022,40.1,13.95,24660
SI,2023,33.8,14.68,25120
SK,2013,19.9,7.33,14830
SK,2014,20.4,8.38,15220
SK,2015,21.1,9.36,16000
SK,2016,22,9.56,16280
SK,2017,23.1,7.39,16730
SK,2018,24.6,10.24,17380
SK,2019,25.8,9.76,17760
SK,2020,26.8,11.7,17270
SK,2021,27.9,11.39,18320
SK,2022,29.2,6.02,18360
SK,2023,28.8,7.67,18750
TR,2013,14.6,11.8,6360
TR,2014,15.3,13.28,6500
TR,2015,16.6,13.68,6690
TR,2016,17.9,14.04,6770
TR,2017,18.6,15.43,7170
TR,2018,19.3,14.4,7290
TR,2019,20.5,12.6,7270
TR,2020,22,11.36,7340
TR,2021,23,11.55,8130
TR,2022,23.6,10.5,8490
TR,2023,24.6,9.13,8920
